,Country,EdLevel,YearsCodePro,Salary
1,United States of America,Bachelor’s degree,9.0,285000.0
2,United States of America,Bachelor’s degree,23.0,250000.0
3,United States of America,Bachelor’s degree,7.0,156000.0
5,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,21.0,96828.0
6,United States of America,Less than a Bachelors,3.0,135000.0
7,United States of America,Bachelor’s degree,3.0,80000.0
11,Australia,Bachelor’s degree,9.0,78003.0
12,United States of America,Bachelor’s degree,9.0,75000.0
13,United States of America,Master’s degree,0.5,150000.0
14,Netherlands,Master’s degree,7.0,187407.0
15,Germany,Master’s degree,10.0,107090.0
16,Sweden,Bachelor’s degree,2.0,45149.0
17,France,Master’s degree,6.0,58899.0
19,Germany,Less than a Bachelors,14.0,75010.0
20,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,60828.0
21,Germany,Post grad,5.0,85672.0
23,Germany,Post grad,10.0,69608.0
24,Spain,Master’s degree,10.0,37481.0
28,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,38483.0
29,Spain,Less than a Bachelors,15.0,74963.0
30,Australia,Bachelor’s degree,19.0,237974.0
31,Brazil,Bachelor’s degree,5.0,26374.0
32,Germany,Less than a Bachelors,7.0,53545.0
33,Portugal,Master’s degree,5.0,74963.0
34,Italy,Bachelor’s degree,13.0,42836.0
36,United States of America,Less than a Bachelors,15.0,130000.0
37,Germany,Master’s degree,2.0,53982.0
38,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,136552.0
40,Canada,Bachelor’s degree,2.0,111527.0
42,United States of America,Bachelor’s degree,16.0,165000.0
43,United States of America,Less than a Bachelors,2.0,63000.0
45,Canada,Bachelor’s degree,9.0,101490.0
48,Switzerland,Master’s degree,28.0,149894.0
61,Germany,Master’s degree,9.0,82459.0
64,Netherlands,Bachelor’s degree,2.0,38552.0
66,India,Bachelor’s degree,6.0,41197.0
71,Italy,Master’s degree,2.0,128507.0
88,Brazil,Bachelor’s degree,14.0,24345.0
96,Germany,Bachelor’s degree,6.0,86528.0
100,United States of America,Master’s degree,24.0,140000.0
